	avail_bikes	timestamp
2454	8	2016-01-31 05:00:00
4696	8	2016-01-31 06:00:00
4068	7	2016-01-31 07:00:00
1065	7	2016-01-31 08:00:00
175	7	2016-01-31 09:00:00
1808	8	2016-01-31 10:00:00
1444	8	2016-01-31 11:00:00
422	3	2016-01-31 12:00:00
3419	4	2016-01-31 13:00:00
1222	3	2016-01-31 14:00:00
1803	4	2016-01-31 15:00:00
471	4	2016-01-31 16:00:00
882	5	2016-01-31 17:00:00
3832	1	2016-01-31 18:00:00
4388	1	2016-01-31 19:00:00
2592	6	2016-01-31 20:00:00
3211	5	2016-01-31 21:00:00
1321	7	2016-01-31 22:00:00
2047	9	2016-01-31 23:00:00
1319	1	2016-02-01 14:00:00
947	1	2016-02-01 17:00:00
3586	17	2016-02-01 21:00:00
1570	14	2016-02-01 22:00:00
2204	15	2016-02-01 23:00:00
3810	14	2016-02-02 00:00:00
2394	14	2016-02-02 01:00:00
387	14	2016-02-02 02:00:00
815	14	2016-02-02 03:00:00
3617	14	2016-02-02 04:00:00
4364	14	2016-02-02 05:00:00
2995	13	2016-02-02 06:00:00
3015	9	2016-02-02 07:00:00
1579	1	2016-02-02 08:00:00
1902	0	2016-02-02 09:00:00
62	0	2016-02-02 10:00:00
810	1	2016-02-02 11:00:00
4549	0	2016-02-02 12:00:00
1503	2	2016-02-02 13:00:00
3153	7	2016-02-02 14:00:00
2430	11	2016-02-02 15:00:00
4826	9	2016-02-02 16:00:00
3816	10	2016-02-02 17:00:00
1127	18	2016-02-02 18:00:00
530	26	2016-02-02 19:00:00
2024	27	2016-02-02 20:00:00
1692	31	2016-02-02 21:00:00
3510	31	2016-02-02 22:00:00
2679	30	2016-02-02 23:00:00
4342	32	2016-02-03 00:00:00
1324	31	2016-02-03 01:00:00
794	31	2016-02-03 02:00:00
166	31	2016-02-03 03:00:00
4429	31	2016-02-03 04:00:00
4038	31	2016-02-03 05:00:00
3037	30	2016-02-03 06:00:00
2781	29	2016-02-03 07:00:00
1961	24	2016-02-03 08:00:00
1699	22	2016-02-03 09:00:00
1031	25	2016-02-03 10:00:00
378	25	2016-02-03 11:00:00
4002	27	2016-02-03 12:00:00
2392	27	2016-02-03 13:00:00
